id;power;dt;hubheight;diameter;NUTS_ID;lon;lat;N1
67;1800.0;01.10.2001;86.0;70.0;DE133;7.95734148;48.17479159;DE1
68;1000.0;01.12.2000;70.0;60.0;DE133;8.07899171;48.0504514;DE1
69;1000.0;01.12.2000;70.0;60.0;DE133;8.08410703;48.0479111;DE1
70;1000.0;01.12.2000;70.0;60.0;DE133;8.08127108;48.04899468;DE1
71;3050.0;27.06.2014;135.4;101.0;DE133;7.95784545;48.14724912;DE1
72;2000.0;01.07.2007;105.0;90.0;DE12C;8.28593058;48.39841659;DE1
73;2000.0;01.07.2007;105.0;90.0;DE12C;8.28585872;48.40258891;DE1
74;2000.0;01.07.2007;105.0;90.0;DE12C;8.28665751;48.40051647;DE1
75;2350.0;27.11.2015;138.38;92.0;DE12C;8.28356926;48.40501179;DE1
76;2000.0;01.07.2007;125.0;90.0;DE12C;8.45555844;48.6100454;DE1
77;2000.0;01.07.2007;125.0;90.0;DE12C;8.45767413;48.61256433;DE1
78;2000.0;01.07.2007;125.0;90.0;DE12C;8.463080999999999;48.60784151;DE1
79;2000.0;01.07.2007;125.0;90.0;DE12C;8.46165819;48.61029886;DE1
80;2000.0;01.07.2007;125.0;90.0;DE12C;8.45845599;48.60792779;DE1
81;800.0;01.07.2001;74.5;50.0;DE12C;8.44508914;48.39163139;DE1
82;800.0;01.07.2001;74.5;50.0;DE12C;8.44547381;48.39351278;DE1
83;2000.0;01.12.2012;138.38;82.0;DE12C;8.55862097;48.40412795;DE1
84;1500.0;07.11.2002;100.0;77.0;DE12C;8.43440932;48.52435971;DE1
85;2300.0;13.12.2013;113.5;71.0;DE12C;8.48213849;48.3332232;DE1
86;600.0;01.11.2000;77.5;44.0;DE12C;8.53005725;48.4450318;DE1
87;850.0;16.10.2003;74.0;52.0;DE12C;8.52390198;48.46729093;DE1
88;600.0;01.11.1998;60.0;43.0;DE12C;8.80683428;48.46896633;DE1
89;850.0;04.11.2002;74.0;52.0;DE114;9.85894335;48.66692465;DE1
90;2000.0;29.06.2006;105.0;92.0;DE114;9.85006293;48.66119031;DE1
91;2000.0;29.06.2006;105.0;90.0;DE114;9.85135317;48.65800637;DE1
92;850.0;04.11.2002;74.0;52.0;DE114;9.85848237;48.66536337;DE1
93;850.0;04.11.2002;74.0;52.0;DE114;9.85843229;48.66401484;DE1
94;850.0;04.11.2002;74.0;52.0;DE114;9.85855333;48.6623503;DE1
95;2000.0;05.04.2002;78.0;80.0;DE114;9.7485284;48.58269679;DE1
96;2000.0;05.04.2002;78.0;80.0;DE114;9.74858685;48.58023239;DE1
97;2000.0;06.09.2005;105.0;91.0;DE114;9.74949848;48.57772647;DE1
98;2000.0;06.09.2005;105.0;90.0;DE114;9.75363743;48.57536131;DE1
99;750.0;21.06.1999;70.0;48.0;DE114;9.62089619;48.55640627;DE1
100;750.0;21.06.1999;70.0;48.0;DE114;9.62077075;48.55280085;DE1
101;750.0;21.06.1999;70.0;48.0;DE114;9.62741467;48.55223422;DE1
102;750.0;21.06.1999;70.0;48.0;DE114;9.62023217;48.55085232;DE1
103;750.0;21.06.1999;70.0;48.0;DE114;9.62149056;48.5496405;DE1
104;750.0;21.06.1999;70.0;48.0;DE114;9.61945751;48.55507411;DE1
105;850.0;30.08.2000;74.0;52.0;DE114;9.70693369;48.55465067;DE1
106;850.0;30.08.2000;74.0;52.0;DE114;9.708518;48.55170028;DE1
107;850.0;30.08.2000;74.0;52.0;DE114;9.70339223;48.55031987;DE1
108;2780.0;15.09.2016;139.0;120.0;DE114;9.90855428;48.72182818;DE1
109;2780.0;15.09.2016;139.0;120.0;DE114;9.9152413;48.72251873;DE1
110;2780.0;15.09.2016;139.0;120.0;DE114;9.91215122;48.72554803;DE1
111;2780.0;15.09.2016;139.0;120.0;DE114;9.9096066;48.72927373;DE1
112;2780.0;15.09.2016;139.0;120.0;DE114;9.93525077;48.72504051;DE1
113;2780.0;15.09.2016;139.0;120.0;DE114;9.93081106;48.7283952;DE1
114;2780.0;15.09.2016;139.0;120.0;DE114;9.92520791;48.73127491;DE1
115;2780.0;15.09.2016;139.0;120.0;DE114;9.91871349;48.73400167;DE1
116;2780.0;15.09.2016;139.0;120.0;DE114;9.91530531;48.73765785;DE1
117;2780.0;15.09.2016;139.0;120.0;DE114;9.89890554;48.73795305;DE1
118;2780.0;15.09.2016;139.0;120.0;DE114;9.90531796;48.74060687;DE1
119;2780.0;15.09.2016;139.0;120.0;DE114;9.9035737;48.74425213;DE1
120;2780.0;15.09.2016;139.0;120.0;DE114;9.93200422;48.7359636;DE1
121;2780.0;15.09.2016;139.0;120.0;DE114;9.925442599999998;48.73897526;DE1
122;2780.0;15.09.2016;139.0;120.0;DE114;9.89710265;48.74211385;DE1
123;2780.0;15.09.2016;139.0;120.0;DE114;9.91485369;48.74097538;DE1
124;1500.0;30.07.2007;85.0;70.0;DE114;9.94969863;48.69348639;DE1
125;1500.0;20.06.2001;85.0;70.0;DE114;9.94746581;48.70044710000001;DE1
126;1500.0;20.06.2001;85.0;70.0;DE114;9.94754311;48.69660661;DE1
127;1500.0;20.06.2001;85.0;70.0;DE114;9.94786213;48.69840251;DE1
128;600.0;05.11.1996;50.0;44.0;DE114;9.86329131;48.66316017;DE1
129;2700.0;01.05.2011;100.0;100.0;DE114;9.84958152;48.66404454;DE1
130;1000.0;05.10.2001;74.0;52.0;DE114;9.8653734;48.66662469;DE1
131;1500.0;03.12.2002;85.0;77.0;DE11C;9.94740639;48.65965687;DE1
132;1500.0;04.09.2003;85.0;77.0;DE11C;9.9250699;48.64743763;DE1
133;1500.0;09.09.2003;85.0;77.0;DE11C;9.92330325;48.64507774;DE1
134;1500.0;03.12.2002;85.0;77.0;DE11C;9.94596599;48.65522633;DE1
135;1500.0;05.12.2002;85.0;77.0;DE11C;9.94653417;48.65729897;DE1
136;2400.0;29.06.2016;140.6;116.8;DE11C;10.18597305;48.76805639;DE1
137;2400.0;23.06.2016;140.6;116.8;DE11C;10.18079172;48.7559516;DE1
138;2400.0;14.06.2016;140.6;116.8;DE11C;10.1834681;48.76045641;DE1
139;2400.0;27.06.2016;140.6;116.8;DE11C;10.18255158;48.7642877;DE1
140;800.0;12.08.2009;73.25;52.9;DE11C;9.99472208;48.69938305;DE1
141;2000.0;01.09.2009;99.38;82.0;DE11C;10.00735657;48.69531642;DE1
142;2000.0;01.09.2009;99.38;82.0;DE11C;9.99323794;48.69300208;DE1
143;2000.0;01.09.2009;99.38;82.0;DE11C;9.99306417;48.69521578;DE1
144;2000.0;01.09.2009;99.38;82.0;DE11C;9.99784505;48.69037236;DE1
145;2000.0;01.09.2009;99.38;82.0;DE11C;9.99338435;48.69077963;DE1
146;2000.0;01.09.2009;99.38;82.0;DE11C;9.99995106;48.69383424;DE1
147;2000.0;01.09.2009;99.38;82.0;DE11C;10.00239213;48.69226628;DE1
148;2000.0;01.09.2009;99.38;82.0;DE11C;10.00773934;48.6913563;DE1
149;660.0;04.01.2001;76.0;47.0;DE11C;9.93730033;48.65783316;DE1
150;660.0;23.01.2001;76.0;47.0;DE11C;9.93612885;48.65248305;DE1
151;660.0;23.01.2001;76.0;47.0;DE11C;9.93648837;48.65430564;DE1
152;660.0;04.01.2001;76.0;47.0;DE11C;9.93682094;48.65613744;DE1
153;2750.0;24.05.2016;139.0;120.0;DE11C;10.30800962;48.71975718;DE1
154;2750.0;09.06.2016;139.0;120.0;DE11C;10.33145444;48.71617914;DE1
155;2750.0;29.04.2016;139.0;120.0;DE11C;10.32419753;48.71618189;DE1
156;2750.0;28.04.2016;139.0;120.0;DE11C;10.31944197;48.71777424;DE1
157;2750.0;10.05.2016;139.0;120.0;DE11C;10.31190041;48.71833702;DE1
158;3000.0;21.12.2015;149.0;115.0;DE118;9.39323096;49.30067397;DE1
159;3000.0;29.09.2015;149.0;115.0;DE118;9.4066284;49.30133787;DE1
160;3000.0;25.11.2015;149.0;115.0;DE118;9.40044175;49.30142245;DE1
161;3000.0;25.11.2015;149.0;115.0;DE118;9.4105522;49.29699903;DE1
162;2350.0;03.12.2014;138.38;92.0;DE118;9.43577972;49.09572539;DE1
163;2350.0;03.12.2014;138.38;92.0;DE118;9.4336563;49.09874568;DE1
164;3000.0;23.12.2015;149.0;115.0;DE118;9.41281241;49.29436542;DE1
165;3000.0;10.11.2015;149.0;115.0;DE118;9.41648485;49.28480316;DE1
166;3000.0;04.12.2015;149.0;115.0;DE118;9.4345519;49.29017644;DE1
167;3000.0;18.12.2015;149.0;115.0;DE118;9.42930591;49.29235406;DE1
168;3000.0;23.12.2015;149.0;115.0;DE118;9.42246787;49.29168695;DE1
169;3000.0;04.12.2015;149.0;115.0;DE118;9.4206978;49.29529904;DE1
170;3000.0;14.12.2015;149.0;115.0;DE118;9.44427968;49.29117343;DE1
171;3000.0;23.12.2015;149.0;115.0;DE118;9.43990332;49.29217028;DE1
172;3050.0;09.12.2015;149.0;115.0;DE118;9.38853005;49.30085175;DE1
173;2000.0;01.06.2011;95.0;90.0;DE118;9.44149803;49.35977155;DE1
174;1000.0;01.11.2001;70.0;60.0;DE119;9.57815893;49.32745491;DE1
175;3000.0;11.12.2015;149.0;115.72;DE119;9.4406965;49.28862457;DE1
176;1500.0;01.11.2003;100.0;77.0;DE119;9.69972479;49.34341724;DE1
177;2000.0;01.10.2006;100.0;82.0;DE119;9.79949307;49.40620442;DE1
178;1000.0;01.11.2001;70.0;60.0;DE119;9.58308427;49.32748409;DE1
179;2000.0;28.12.2007;100.0;92.6;DE119;9.6956649;49.34359399;DE1
180;2000.0;12.01.2008;100.0;92.6;DE119;9.69221976;49.3452152;DE1
181;2000.0;30.12.2007;100.0;92.6;DE119;9.6912376;49.34797528;DE1
182;2000.0;19.12.2007;100.0;92.6;DE119;9.69784455;49.34105421;DE1
183;3300.0;29.06.2016;137.0;126.0;DE119;9.5898967;49.33001208;DE1
184;3300.0;01.06.2016;137.0;126.0;DE119;9.60709718;49.33252148;DE1
185;3300.0;23.05.2016;137.0;126.0;DE119;9.59965998;49.32849616;DE1
186;3300.0;24.06.2016;137.0;126.0;DE119;9.59228248;49.32705063;DE1
187;3300.0;15.06.2016;137.0;126.0;DE119;9.60089364;49.33264385;DE1
188;2000.0;01.06.2005;85.0;71.0;DE139;7.85336555;47.76493452;DE1
189;3000.0;29.12.2016;149.0;115.0;DE139;7.92628747;47.70822099;DE1
190;3000.0;28.12.2016;149.0;115.0;DE139;7.94691284;47.72025734;DE1
191;3000.0;31.01.2017;149.0;115.0;DE139;7.93501674;47.71667586;DE1
192;3000.0;23.12.2016;149.0;115.0;DE139;7.93529152;47.70972592;DE1
193;3000.0;22.12.2016;149.0;115.0;DE139;7.92760433;47.7122357;DE1
194;2000.0;01.07.2012;138.0;82.0;DE115;9.17199287;48.9742925;DE1
195;2782.0;24.09.2016;139.0;120.0;DE11B;9.56100045;49.48779391;DE1
196;2782.0;24.08.2016;139.0;120.0;DE11B;9.58614212;49.47002812;DE1
197;2782.0;02.09.2016;139.0;120.0;DE11B;9.57289394;49.47211762;DE1
198;2782.0;12.09.2016;139.0;120.0;DE11B;9.57353418;49.47613357;DE1
199;600.0;30.10.2002;78.0;44.0;DE11B;9.77189377;49.71023386;DE1
200;600.0;11.01.2001;78.0;44.0;DE11B;9.76830767;49.63057869;DE1
201;600.0;11.01.2001;78.0;44.0;DE11B;9.77126414;49.63108949;DE1
202;600.0;11.01.2001;78.0;44.0;DE11B;9.77080228;49.63252216;DE1
203;600.0;13.09.2001;78.0;44.0;DE11B;9.52079332;49.59533729;DE1
204;600.0;13.09.2001;78.0;44.0;DE11B;9.52084536;49.59632608;DE1
205;600.0;13.09.2001;78.0;44.0;DE11B;9.52130558;49.59408521;DE1
206;600.0;13.09.2001;78.0;44.0;DE11B;9.52392163;49.59296747;DE1
207;600.0;13.09.2001;78.0;44.0;DE11B;9.52535095;49.59083009;DE1
208;600.0;13.09.2001;78.0;44.0;DE11B;9.52475459;49.59196568;DE1
209;600.0;13.09.2001;78.0;44.0;DE11B;9.51903561;49.59133514;DE1
210;600.0;13.09.2001;78.0;44.0;DE11B;9.52140675;49.59060518;DE1
211;600.0;28.05.2004;78.0;44.0;DE11B;9.59466985;49.58388582;DE1
212;600.0;28.05.2004;78.0;44.0;DE11B;9.60612986;49.57685814;DE1
213;600.0;20.09.2004;77.65;44.0;DE11B;9.49266124;49.67918539;DE1
214;600.0;20.09.2004;77.65;44.0;DE11B;9.49390365;49.67736391;DE1
215;600.0;14.08.2002;77.9;44.0;DE11B;9.6187233;49.72940587;DE1
216;600.0;14.08.2002;77.9;44.0;DE11B;9.62111738;49.72789155;DE1
217;1000.0;30.10.2002;70.5;58.6;DE11B;9.65828001;49.55079516;DE1
218;1800.0;30.04.2003;98.0;70.0;DE11B;9.63456399;49.5719852;DE1
219;800.0;03.02.2011;73.25;53.0;DE11B;9.58067099;49.46472388;DE1
220;2000.0;14.09.2004;105.0;90.0;DE11B;9.57448532;49.5125706;DE1
221;2000.0;14.09.2004;105.0;90.0;DE11B;9.56696979;49.50749168;DE1
222;2530.0;20.10.2015;139.0;120.0;DE11B;10.07024855;49.49209483;DE1
223;3000.0;29.12.2016;149.0;115.72;DE11B;9.57746862;49.48098008;DE1
224;3000.0;28.11.2016;149.0;115.72;DE11B;9.58714826;49.47420848;DE1
225;3000.0;09.12.2016;149.0;115.72;DE11B;9.57967624;49.47873019;DE1
226;2000.0;01.01.2007;95.0;80.0;DE11B;9.68195113;49.71112252;DE1
227;2000.0;01.01.2007;95.0;80.0;DE11B;9.68005416;49.71428053;DE1
228;2000.0;01.01.2007;95.0;80.0;DE11B;9.68865671;49.71467921;DE1
229;2000.0;01.01.2007;95.0;80.0;DE11B;9.6828511;49.71597235;DE1
230;2000.0;01.01.2007;95.0;80.0;DE11B;9.69118177;49.71673208;DE1
231;2000.0;01.01.2007;95.0;80.0;DE11B;9.68777271;49.71099816;DE1
232;2000.0;01.01.2007;95.0;80.0;DE11B;9.686886;49.71693748;DE1
233;2000.0;01.01.2007;95.0;80.0;DE11B;9.68531646;49.71379994;DE1
234;2000.0;01.01.2007;95.0;80.0;DE11B;9.69254784;49.71528536;DE1
235;800.0;21.01.2002;70.0;80.0;DE11B;9.80859167;49.43832162;DE1
236;2000.0;28.11.2015;100.0;100.0;DE11B;10.08883924;49.51126189;DE1
237;2000.0;01.04.2011;100.0;92.5;DE11B;9.96886567;49.48242405;DE1
238;2350.0;30.09.2016;138.38;92.0;DE11B;9.96067055;49.4825464;DE1
239;2350.0;04.04.2016;139.13;92.0;DE11B;9.95973187;49.47688958;DE1
240;2300.0;30.09.2016;138.38;82.0;DE11B;9.97234317;49.47983588;DE1
241;3200.0;08.12.2015;123.0;114.0;DE11B;9.96435754;49.4749359;DE1
242;3200.0;09.12.2015;123.0;114.0;DE11B;9.9547412;49.47996103;DE1
243;3200.0;04.12.2015;143.0;114.0;DE11B;9.98275307;49.48193817;DE1
244;2050.0;14.12.2015;100.0;92.5;DE11B;9.96659022;49.48390871;DE1
245;2000.0;14.09.2004;105.0;90.0;DE11B;9.57340096;49.51548916;DE1
246;1000.0;30.10.2002;70.5;58.6;DE11B;9.65057194;49.55519954;DE1
247;2000.0;14.09.2004;105.0;90.0;DE11B;9.57597084;49.51089982;DE1
248;2530.0;20.10.2015;139.0;120.0;DE11B;10.05565611;49.48813789;DE1
249;2400.0;16.09.2016;141.0;117.0;DE11B;9.37831644;49.75326063;DE1
250;2400.0;16.09.2016;141.0;117.0;DE11B;9.35073474;49.75981199;DE1
251;2400.0;16.09.2016;141.0;117.0;DE11B;9.36007451;49.75972035;DE1
252;2400.0;16.09.2016;141.0;117.0;DE11B;9.35670218;49.75597262;DE1
253;2400.0;16.09.2016;141.0;117.0;DE11B;9.36517951;49.75755553;DE1
254;2400.0;16.09.2016;141.0;117.0;DE11B;9.37354248;49.7586347;DE1
255;2400.0;16.09.2016;141.0;117.0;DE11B;9.38588928;49.7527591;DE1
256;2300.0;30.04.2002;107.38;82.0;DE11B;9.96778977;49.47895337;DE1
257;1000.0;30.04.2002;70.5;58.0;DE11B;9.96503064;49.48179976;DE1
258;500.0;30.04.2002;65.0;40.3;DE11B;9.96317001;49.47840752;DE1
259;1000.0;30.04.2002;70.5;58.0;DE11B;9.95953406;49.47877044;DE1
